	TCGA-BH-A0B5	TCGA-BH-A0C3	TCGA-A7-A13F	TCGA-BH-A18P	TCGA-AC-A2FM
C4orf19	7.250332429	2.967408268	3.468913268	2.69176566	1.516556825
SLC7A6OS	1.155002112	1.174200142	1.037822737	1.397689727	0.826620028
C4orf17	0	0	0	0	0
INGX	0.137439322	0	0.03145145	0.02820426	0.014396474
RFPL4AL1	0	0	0	0	0.019771369
ETV3L	0.00788493	2.705781383	0.337418669	0.035597886	0.299812406
TEN1-CDK3	0.131903669	0.302637806	0.115707932	0.144364132	0.396076628
ZNF197-AS1	0.050018046	0.305411424	0.125906768	0.282268954	0.172896341
MKRN2OS	0.110742524	1.529244594	0.72907522	0.423048473	1.501759282
MSL3P1	0.143631715	0.1252884	0.12051787	0.092635764	0.110330838
MDC1-AS1	0	0	0	0	0
TBC1D8-AS1	0.100601267	0.668022784	0.427336106	0.461278503	0.441927607
ZNF117	5.727419477	4.239325391	5.084544199	6.604172081	1.45755179
ZNF114	0.222075587	0.338999755	0.235040242	0.324705307	0.104678737
ZNF112	0.785509493	3.614561665	1.742882757	1.668049606	1.334300256
SEZ6L	0.017435301	0.106460382	0.038402533	0.041817184	0.494701843
MIR6780B	0	0	0	0	0
MIR6780A	0	0	0.288382045	0	0
PRKAR2A	16.07308523	12.72675698	13.37339182	14.92267252	6.930751779
PRKAR2B	255.8895135	11.2805598	79.28916741	209.1793961	15.01715637
MAGT1	13.13232949	27.10446612	20.26740948	18.51489851	18.47672291
TMBIM6	127.7354038	184.1104144	150.0325073	143.8667456	150.2795518
S1PR4	0.617981373	0.78898563	0.789584494	0.63408735	2.276416542
ITGA2B	0.126306604	0.174812415	0.233157741	0.180573821	0.161704228
PHACTR4	4.129462639	10.44965294	7.816622508	6.516276311	6.434301749
NLGN2	2.666953192	9.712407957	6.600259628	4.819338061	7.905526848
NLGN3	0.225580638	1.358402314	0.959449801	0.430195924	0.936608167
PHACTR3	0.127814777	0.12799219	0.112608576	0.095211935	0.029454312
NUP107	3.588037304	6.677791421	4.393389545	4.38154359	3.983189513
KRTAP2-3	0	0	0.022411405	0.482341189	0.287238455
KRTAP2-2	0	0	0	0	0
KRTAP2-1	0	0	0	0	0
KRTAP2-4	0	0	0	0	0
MIR4708	0	0	0	0	0
MIR4709	36.36989696	55.03956036	49.67052906	41.64447674	89.11549557
MIR4704	0	0	0	0	0
MIR4705	0	0	0	0	0
MIR4706	0	0	0.239146086	0	0
MIR4707	6.786989812	14.60570292	12.41167247	12.07911012	13.71000798
MIR4700	7.521886076	17.96498192	10.09753495	12.50777475	11.5144193
MIR4701	0.741934347	3.322197602	0.933808528	1.674795795	0
MIR4703	0	0	0	0	0
SBF1P1	0.002766937	0	0	0	0.006376275
LOC101928035	0.026422761	0.107558687	0.055426736	0.029822537	0.030445003
EPN2-AS1	0.026185918	0.047967559	0.032957948	0.04433283	0
NR1D1	28.11481516	19.02713172	28.94099006	9.243096488	11.06158192
NR1D2	18.7797351	19.29194232	19.20228021	17.01730655	6.508517398
PLPBP	17.80772292	15.50256094	16.26346865	19.41673625	13.11866121
OGFR	4.208292008	5.952554394	4.883727246	5.314502479	17.50569327
CHMP1B-AS1	0	0	0	0	0
PTCH2	0.571904724	3.710087443	1.786187646	0.905053272	1.575934425
PTCH1	0.778514558	2.245502014	1.330892439	1.678934582	0.679531635
AOAH-IT1	0	0.033206164	0	0.030689975	0
TIMM44	4.554972956	4.737319825	3.959707316	3.914252692	10.23228232
RAD9B	0.107858297	0.461009799	0.290015424	0.547813162	0.203362657
RAD9A	1.427631885	5.659305189	3.640710917	2.421202748	5.473136189
ERGIC2	7.282188764	7.282956357	6.482804621	7.051045529	5.823900189
ERGIC3	18.00116357	43.57061251	29.14097691	23.96487366	52.71353591
ERGIC1	13.63676274	14.99670103	16.44497645	12.48598821	13.8296611
MIR3165	0	0	0	0	0.239365379
MIR3164	0	0.458485102	0.236264808	0.211871757	0.216294017
MIR3167	0	0	0	0	0
MIR3166	0	0	0	0	0
MIR3161	0	0	0	0	0
MIR3163	0	0	0	0	0
MIR3162	0	0	0	0	0
B3GAT3	5.903695048	10.12481638	7.979678475	5.77245824	30.41852873
B3GAT2	0.078318431	0.156506491	0.122469024	0.139289947	0.054691252
B3GAT1	0.016364766	0.537922411	0.242013746	0.116979172	0.485539839
MIR3169	0	0	0	0	0
MIR3168	0	0.232038192	0	0	0
CALM2	71.69350833	72.36254193	76.27147604	64.03451954	90.85037818
TTC30A	1.548935404	3.066632275	2.248173335	3.240414525	2.331559007
TTC30B	1.411836232	3.604592292	2.645907061	2.871793237	2.109418577
CALM1	97.89604638	28.85308332	58.56270198	51.74727749	37.5194747
GSDMA	0.090828734	0.298632112	0.67711587	0.094629718	0.152957697
GSDMB	1.918223822	3.264095585	2.596952353	5.667219673	1.21608152
GSDMC	0.021241474	0.80414599	0.207194735	0.0659301	0.501737247
GSDMD	3.231242998	7.516386475	4.227874694	5.585653488	23.29320837
UPK1A	0.193902315	0.111432689	0.14355768	0.167356974	0.275988633
UPK1B	0.027503303	0.016793585	0.008654007	0	0.007922508
DLGAP3	0.050929866	0.086117267	0.123271179	0.066326462	0.216674721
DLGAP1	0.074646955	0.378782318	0.218680586	0.374774641	0.476021932
DLGAP4	7.736242036	10.43905213	12.39429216	7.315059844	11.0586315
DLGAP5	0.033990993	0.565573318	0.181821459	0.095911404	0.097913299
MIR7973-1	0	0	0	0	0
CYP27B1	0.018117001	1.017730301	0.273627615	0.19936886	0.657558963
OIP5	0.151268168	0.477217705	0.42837333	0.241869781	0.275967367
FAM169A	0.029525959	0.52144326	0.114343901	0.266600147	0.057573305
INO80B-WBP1	0	0.009327025	0.009612735	0.008620272	0.008800198
MIR506	0	0	0	0	0
PTPN18	7.898247053	19.94652378	15.04541173	8.914502348	18.02391457
MIR505	0	0	0	0	0
PTPN13	6.60240312	7.501851428	6.34185402	9.176014976	2.822550372
PTPN12	17.79117634	14.91436249	16.18433104	21.54499339	10.18176694
PTPN11	47.76186448	23.98789333	39.36291257	36.65626705	9.684444051
PTPN14	4.802280423	12.62997387	9.926271137	12.31237433	3.877435825
LYAR	4.071520696	5.021390518	4.524078832	4.367902098	8.616224678
LOC145694	0.027515446	0.529231478	0.328997442	0.302794207	1.14927086
MIR548AG1	0	0	0	0	0
C2orf81	0.213290642	2.33789131	1.420823193	1.162571104	5.160941356
C2orf80	0	0	0.013665491	0	0
C2orf83	0	0	0	0.008426141	0
SNORA81	0	0	0	0	0
SNORA84	0	0	0	0	0.134980477
C2orf88	2.678609394	4.23248186	4.080916108	1.381141004	0.652596957
CDK1	0	0	0	0	0
MZB1	0.123383714	10.44692494	5.978757372	1.183704111	10.53607839
CDK2	2.444725116	8.164955599	5.8568068	4.814070193	7.039887019
HLA-DQB1	2.277998666	5.990597752	5.058446889	4.482401061	32.55154392
MSMB	0	10.20968043	0.279003767	0.071485186	0.839238372
HLA-DQB2	1.644108951	6.689519189	4.061238272	2.636069121	1.903238037
LOC100129027	0.004495274	0	0.005657813	0.015221024	0.015538722
ATP2B1-AS1	0.304577123	1.063465787	0.431937865	0.823103109	0.94408289
CDK7	5.371739622	9.375916085	7.247342416	6.593599732	9.195133469
FOXS1	0.649684739	0.706845682	1.144782706	1.279904595	1.565220922
LOC643733	1.273363987	1.868696707	1.994235161	1.122817009	1.700622383
CAMKK2	12.57060081	12.4385996	15.42825219	10.85669278	10.89680584
CAMKK1	0.715650843	1.676150882	2.659920385	0.769833062	2.485866209
MYDGF	21.24461352	20.13837064	22.54329539	17.20807765	64.95175285
CHMP3	18.90584645	19.78736934	19.21958134	17.52170288	14.26844929
RPL36AL	173.9557569	242.8892431	178.9870611	158.1739111	365.7381065
CHMP7	10.53300408	9.432564873	10.50206628	9.294261082	12.23193772
CHMP6	6.495603677	7.689907815	8.406922101	7.140418331	25.25881126
CHMP5	24.51829148	23.79585636	23.62223004	26.50311789	25.68921329
OR52N4	0.180296485	0.275223699	0.151282384	0.203494957	0.207742373
OR52N5	0	0	0	0	0
OR52N2	0.030107481	0.036767404	0.01894684	0.118934774	0.190798491
OR52N1	0.064717015	0	0.020363426	0	0
LY6G6C	0.028251353	0.759015227	0.088893831	1.498661332	5.777972095
LY6G6D	0.025375605	0.030988814	0	0	0.058476884
HOXA11	0.69562375	0.1402086	0.221005399	0.213433014	0.186761024
HOXA10	7.498200259	1.380711743	3.253341553	4.667922889	1.409266091
GALNTL5	0	0	0	0	0
GALNTL6	0	0.088527014	0.040314824	0.036152539	0.067986812
LINC02018	0.125515209	0.521151298	0.273823553	0.06611036	0.212112178
LINC02010	0	0	0	0	0
LINC02011	0	0	0	0.004591477	0
LINC02012	0.018064488	0.176483541	0.068208623	0.050972046	0.072850333
LINC02015	0.010369798	0.056986418	0.032628917	0.070224383	0.256889633
LINC02016	0	0	0	0	0
TDH	0.057584134	0.090414037	0.031061213	0.055708625	0.19904988
KRTAP11-1	0	0	0.02150217	0	0
TDG	2.138641265	4.559836788	3.39565006	3.522092482	2.555736814
SCAMP1-AS1	1.956272203	5.351380796	3.447066636	3.248187938	5.199384701
HN1	3.536901433	6.459415836	6.163300398	2.925741687	17.85775105
GOLGA8IP	0.01199432	0.029295045	0.022644318	0.115069688	0.006910086
LOXHD1	0.157188086	0.059064267	0.145661707	0.222253943	0.035825195
LRRC26	0	0.881322892	0.454159979	0.596360289	2.657965439
LRRC25	2.129028995	1.276354177	3.881395447	0.466030134	3.010651508
LRRC24	0	0	0	0	0
KIAA1522	2.371702283	45.03353657	23.51553737	20.63957691	39.25752732
MPDU1	13.65023685	10.99345388	11.80777432	10.73857651	24.77267726
LRRC20	2.093175879	2.514205819	2.694005403	1.654236233	2.476193578
LRRC29	0.582816257	1.396362356	1.320372657	1.133932814	3.862932553
LRRC28	1.820173884	2.112075188	1.625183093	2.166188353	1.894105288
GCNT4	0.286140326	1.555332697	0.875634644	1.703442824	1.024651043
GCNT7	0.022646252	0.193590003	0.076007671	0.05112022	0
GCNT1	0.544827543	1.495556694	5.179364738	2.018928367	3.333263829
GCNT3	0	0.008815659	0.003028568	0	0.005545144
GCNT2	0.289167518	4.10516883	2.266022771	1.649355624	2.104231115
LPCAT4	3.077813914	7.679840413	6.448123984	3.836605036	7.683733416
LPCAT2	2.021145253	8.499416414	6.996220527	5.136843426	5.198209035
LPCAT3	4.590100491	5.375919756	3.515270325	3.933909233	2.560829612
LPCAT1	4.606528003	5.51710641	6.069611636	4.023997349	8.027991929
TAGLN	74.86812706	199.2432631	162.1165031	143.780599	518.4426786
CCDC178	0.933096425	0.369912952	1.047326257	0.884179903	0.497452073
CCDC179	0	0.020749326	0	0	0
ALPP	0	0	0.006410585	0	0
MIR513B	0	0	0	0	0
MIR513C	0	0	0	0	0
CCDC170	4.545665665	2.998555174	2.475221571	4.565896969	2.365384029
CCDC171	0.119344431	0.515129689	0.381995763	0.41919661	0.245387448
CCDC172	0	0	0	0	0
CCDC173	0.034840387	0.195717366	0.114011506	0.298856674	0.562016208
CCDC174	5.411155028	8.298954245	6.562394576	6.275538967	6.002645582
CCDC175	0	0.035181137	0	0	0
CCDC177	0.011314903	0.027635631	0	0.046826171	0.021728883
PDK1	2.591012408	1.787269377	1.80512473	2.678626735	0.545218461
PDK3	0.722663325	5.930534562	3.449027862	3.445294206	3.843612907
PDK2	14.73635116	8.098941489	8.347031784	24.22999586	6.649038311
EBP	6.390059702	11.57108675	7.228585068	6.314376424	19.62915345
PDK4	307.6474522	37.53637514	289.7711802	109.3335158	18.36158635
LNPEP	11.4369476	6.91113883	8.05414443	10.55743393	2.655346978
ALPI	0	0	0	0	0
SEC61A1	49.16006118	70.67220353	59.87786248	45.837239	77.07646748
SEC61A2	0.863379678	2.293362148	1.397135895	1.001413267	1.242364998
ALPL	13.40959357	30.41683478	10.46691601	10.02371131	19.35540138
PECR	27.91487175	3.402400361	10.43975631	21.06705735	3.475386712
MIR193A	1.062315087	0.216217406	0.445681343	0.199833589	1.224027507
MIR193B	0	0	0	0	0
LINC01091	0.054078516	0.249488036	0.136127892	0.092685382	0.203086708
LINC01090	0.024478588	0.029893373	0	0.041442315	0.070512189
LINC01095	0.013806488	0	0	0.023374421	0.0079541
LINC01097	0	0	0	0	0
LINC01099	0.009774543	0.03581016	0.024604742	0.011032218	0.011262486
LINC01098	0	0	0	0.017007114	0
CTAGE11P	0.006621599	0.048517973	0.016668066	0.014947179	0.007629581
D21S2088E	0	0	0	0	0
DDIT3	8.085677867	9.633800499	11.13710503	18.69659476	23.62456882
DDIT4	26.58850434	27.09840771	61.03105736	26.68564932	20.24661243
DOCK9-AS1	0	0	0	0.044860602	0
RIIAD1	0	0	0.017346288	0.015555379	0.03970014
OR5R1	0	0	0	0	0
GOLGA8R	0.038661591	0.030045099	0.145979993	0.111073757	0.028348032
GOLGA8M	0.339632071	0.077767568	0.267165928	0.862497017	0
GOLGA8O	0.021579808	0.008784456	0.036214181	0.048712897	0
GOLGA8N	0.135269798	0.272817332	0.211525689	0.226698878	0.148776824
GOLGA8H	0.385618325	0.320625706	0.382079635	0.463016215	0.132350526
GOLGA8K	0.03857783	0.088333945	0.060693219	0.103411254	0.011112599
GOLGA8J	0.005732385	0	0.007214856	0	0
GOLGA8G	0	0	0	0	0
GOLGA8F	0.002751302	0.003359903	0.003462825	0	0
GOLGA8A	1.731180142	15.9630588	5.278715852	2.954339782	3.478776844
GOLGA8B	0.727231084	7.546353936	2.689660756	1.944247947	2.420180594
CT45A9	0	0	0	0	0
CT45A8	0	0	0	0	0
CT45A1	0	0	0	0	0
CT45A3	0	0	0	0	0
CT45A2	0	0	0	0	0
CT45A5	0	0	0	0	0
CT45A7	0	0	0	0	0
CT45A6	0	0	0	0	0
FTCDNL1	1.714558767	0.541022578	1.832099228	1.253313766	0.563498631
VMO1	1.241792979	0.663461629	0.586101492	0.481790571	4.851396695
OGFR-AS1	0.046648567	0.199386111	0.117425024	0.105301532	0.161249133
LRRC53	0	0.004930586	0	0.009113944	0
ATP5C1	70.03911268	54.17742622	54.41221196	57.23935043	59.93910796
MIR639	24.53764917	24.17693463	25.52810636	23.87742002	35.84859827
MIR638	0	0	0	0	0
MIR635	6.200451325	11.0668011	10.40529503	10.40765958	6.961136027
MIR634	0	0	0	0	0
MIR637	6.822283873	5.806250677	7.951186223	6.050075933	29.10626356
MIR636	36.02599073	44.58794208	29.24272321	25.9263052	49.35274581
MIR631	6.758825077	9.456864696	5.6535957	7.252392284	5.677130268
MIR630	3.775985358	5.221650353	4.311109913	4.897460115	2.171864192
MIR633	0	0	0	0	0
MIR632	5.895130863	11.49630979	8.015396277	6.260493299	6.840144622
LINC00320	0	0.016367425	0	0	0
NPC1	3.4039231	9.330866218	6.668014073	6.266806676	4.520977465
GATA3-AS1	0.007037318	0.867994717	0.327718711	0.516281901	3.689405404
LINC00324	0.883051542	2.833050352	1.676549605	1.984898474	2.422970877
LINC00327	0.023852758	0.221381202	0.114081324	0.032306226	0.175896176
C3orf58	2.288678832	6.980429406	6.651024436	6.329702532	3.756034108
RAB3GAP2	5.535458546	7.177481436	5.393502562	6.417702853	2.547769552
BHLHA15	0	1.072958556	0.368608629	0.044073574	0.449934923
RAB3GAP1	12.11852215	15.22113132	13.06050048	14.60627082	8.018866584
C3orf52	0.082806823	0.666787044	0.299637614	0.841153045	1.183707717
DAG1	14.70290319	40.07433304	29.64299164	22.31000728	24.74646627
ETHE1	7.450334489	22.91796663	15.41657333	10.21792497	37.24787945
RER1	13.12758373	15.2892415	14.39650195	15.52739644	17.91454914
KDM1A	7.794610719	20.20341806	13.97053156	12.47638126	16.79961801
KDM1B	3.116124256	5.229873202	4.937703113	4.688152537	2.539513
CKS1B	8.696625649	9.122931847	7.464876556	8.19847642	9.260307334
OR1S1	0	0	0	0	0
OR1S2	0	0	0	0	0
MIR2355	0	0	0	0	0
RBM14-RBM4	0.133012677	0.413472789	0.296775004	0.307078391	0.30652144
FCER1G	14.27146119	18.82975483	24.14631242	6.457692914	29.46130938
BTG4	0	0.010564759	0.021776767	0	0.00996802
BTG3	10.89157047	11.30406351	8.393343174	9.349369586	13.52269071
BTG2	184.1135512	41.71200004	167.5205758	243.0631684	116.3422533
SOSTDC1	0.03780175	25.80549931	13.38521824	4.088790785	17.58943531
SRD5A3	5.58716849	4.890231139	5.838627258	4.881726611	8.013595472
SRD5A2	0.003352113	0.04093617	0.016876058	0.011350273	0.003862393
SRD5A1	0.664423124	1.679517395	1.695379916	1.139686056	1.268186633
ARMT1	13.04372693	12.31802603	10.46932193	16.0757226	10.82620995
EIF1AX-AS1	0.041218575	0.100672655	0.051878252	0.279132632	0.047493131
LOC101929721	0	0	0	0	0
GGA3	3.86699757	9.840236495	7.011158186	4.873050415	6.578041802
GGA2	6.074379016	22.58937324	14.93083938	11.08191481	12.66112282
LOC101929726	14.36078616	0.3611318	32.98570622	3.525415347	3.662886585
FHOD1	6.892703181	4.623941387	7.804822451	9.565106628	6.650390991
FHOD3	1.782039672	4.80157373	2.410316325	4.152925843	3.067573268
GJC2	0.659901481	0.780426268	0.690676927	0.53312715	2.673251337
GJC3	1.479879799	6.649266461	6.51908803	3.923614342	12.2095647
GJC1	3.905950207	1.017270437	2.105921542	3.783085212	0.422897263
PSMB9	4.752292363	5.078856774	5.789795258	4.075772578	7.486011981
PSMB8	11.1534258	24.87944492	20.93946919	14.61355344	35.34994695
PSMB7	47.11677526	61.89407761	51.67509318	46.80243559	80.93148411
PSMB6	45.45065213	32.94269283	40.33046804	39.12984567	87.18321891
PSMB5	48.26902955	30.16312439	37.83114946	32.88909895	64.22179904
PSMB4	62.33692498	72.78450989	69.0892822	58.59883868	122.7302168
PSMB3	39.48676538	47.38223811	47.51968639	35.60326073	103.5575028
PSMB2	15.58062128	17.49883227	16.21680079	13.68193699	21.86686514
PSMB1	61.46610345	44.86051135	53.05820583	50.6280524	77.87332449
LMBR1L	2.911543252	7.816007143	4.893576723	3.393767202	5.2696405
SNORD115-14	0	0	0	0	0
TDGF1	0.01864826	0.129048968	0.117354752	0.035079505	0.035811696
MEIS1-AS2	0.151415173	0.110945374	0.076229268	0.119628271	0.052339369
SNORD115-16	0	0	0	0	0
SNORD115-17	0	0	0	0	0
PNMA5	0	0	0	0	0
LTN1	3.194764615	6.872575968	5.300173482	5.709891341	1.599859297
TRIML2	0	0	0.006429501	0	0
C9orf142	4.091765208	14.74011155	7.947277552	5.685974604	35.12997747
TRIML1	0.007373697	0.009004795	0.009280634	0.008322459	0
NACC2	10.94445749	3.733138018	6.94995931	7.441833893	4.587670485
VPS13D	5.208843771	8.281548866	7.478489752	7.710225189	2.933639517
NACC1	7.156499045	7.314856182	7.398668909	6.210295537	15.70133095
VPS13A	1.447278942	4.206582646	2.787693106	3.123324986	0.818685065
SH3KBP1	29.8296116	8.203393122	15.28764114	22.25551522	6.152891213
VPS13C	4.234791862	6.636253186	5.198833441	7.530628637	1.952909936
VPS13B	2.086923369	4.679381341	3.459549433	4.275358109	1.114775949
BEX5	0.703546398	4.403268488	2.416657818	2.928135451	13.22364242
BEX4	13.9380859	36.06271878	22.96198605	29.78122387	71.83665051
BEX3	48.08352844	52.94123224	49.9691319	48.76679699	123.572377
BEX2	0.238478897	14.09237392	8.287550686	6.729090246	33.03486483
BEX1	0.36066253	1.189195732	0.363147761	1.384032636	6.836042513
TMEM160	1.786013902	2.697662717	1.892969324	2.493248038	10.50608225
TMEM163	0.494622898	0.380318917	0.296858884	0.60478737	1.762522854
TMEM165	7.873245103	7.724286262	6.326966993	5.359227679	9.107436464
TMEM164	11.68724106	9.419629694	10.33969883	18.9664327	6.654088469
TMEM169	0.846026018	0.283204276	0.659431491	0.688291216	0.217724849
TMEM168	4.106112449	7.191994003	4.954616355	6.187317822	3.929544217
EVI2B	2.060371733	7.713702048	4.968744701	2.486732269	4.990629527
FOXN1	0	0.659174758	0.415168653	0.188569942	0.350459347
FOXN2	8.192547076	3.103494938	5.076913031	7.430703181	1.326532274
FOXN3	17.632524	8.815979095	14.76658264	20.35393765	3.465840599
NICN1	7.042930206	14.73969337	8.931277604	7.510850174	9.776061279
COL14A1	7.821843063	23.96930101	34.54594789	39.64077207	22.63618072
TAP1	7.722243268	9.143663124	9.929211779	7.767057562	8.211518742
IFFO2	2.862825855	9.076938079	8.67681363	9.929417149	20.78974193
SNAP91	0.004685197	0.088684571	0.008845277	0.055524353	0.05938248
MACROD2	0.439509768	0.900702551	0.762341394	0.499161194	0.341829967
MACROD1	3.341368278	5.656222498	5.425834329	6.439826338	19.88600362
KRR1	2.535166677	5.830809553	4.119390899	4.48427392	3.027975387
MTCL1	0.123021092	0.482251029	0.399476874	0.255484049	0.37279764
ATP1A3	0.021293313	0.096584425	0.042114364	0.048066182	0.073604153
C8orf49	0	0	0	0	0
C8orf48	0	0	0	0	0.009122156
C8orf46	1.024331503	1.053405216	0.977106224	0.900564936	1.093295158
C8orf44	0.198513425	0.343982237	0.280239026	0.336083764	0.160730885
TP53I3	0.908092098	3.106625498	1.471726973	1.453161142	1.282826433
MB	6.381854823	7.982836405	8.939843407	4.677765504	15.96459406
SLC18A3	0.186852469	2.703116499	2.288433906	1.476261422	7.833474932
SLC18A2	0	0	0	0	0
SLC18A1	0.502357001	0.327497297	0.232942782	0.294155043	0.073985663
RALBP1	0	0.009732548	0.01003068	0	0.013774223
B3GALT5-AS1	20.63438777	21.59516396	21.44927618	20.6969643	14.78666529
ZNF831	0	2.056987213	0.911910792	0.328502275	0.264005933
ZNF830	0.018224887	0.279215672	0.185589976	0.087889379	0.083996783
ZNF835	3.822316262	7.683708134	5.88473994	5.308491212	10.5188615
ZNF837	0.52488704	0.958752678	0.83002215	0.870913103	0.74435534
ZNF836	0.210143254	1.063173063	0.689560922	0.618367522	2.862353342
ZNF839	0.870077107	3.743556783	2.125492549	2.544158456	2.318076599
LRIF1	1.329509186	2.603891908	1.87329675	2.010204362	1.766336653
